locus	gene
1	ENSG00000177181
1	ENSG00000200254
1	ENSG00000065978
1	ENSG00000164008
1	ENSG00000283580
1	ENSG00000177868
1	ENSG00000227533
1	ENSG00000186973
1	ENSG00000179178
1	ENSG00000117395
1	ENSG00000253313
1	ENSG00000066056
1	ENSG00000117400
1	ENSG00000066322
1	ENSG00000198198
1	ENSG00000178922
1	ENSG00000142949
1	ENSG00000126091
1	ENSG00000236200
1	ENSG00000117407
1	ENSG00000237950
1	ENSG00000117411
1	ENSG00000159214
1	ENSG00000196517
1	ENSG00000178028
1	ENSG00000117419
1	ENSG00000187147
1	ENSG00000198520
1	ENSG00000142945
1	ENSG00000142937
1	ENSG00000142959
1	ENSG00000126088
1	ENSG00000234315
1	ENSG00000117450
10	ENSG00000184731
10	ENSG00000143727
10	ENSG00000035115
10	ENSG00000228643
10	ENSG00000233296
10	ENSG00000151353
10	ENSG00000233970
10	ENSG00000272342
10	ENSG00000223751
10	ENSG00000237667
10	ENSG00000235688
10	ENSG00000172554
10	ENSG00000115705
10	ENSG00000284600
10	ENSG00000186487
11	ENSG00000286290
11	ENSG00000232597
11	ENSG00000227157
11	ENSG00000199727
11	ENSG00000230690
11	ENSG00000233639
11	ENSG00000272861
12	ENSG00000286290
12	ENSG00000232597
12	ENSG00000227157
12	ENSG00000199727
12	ENSG00000230690
12	ENSG00000233639
12	ENSG00000272861
13	ENSG00000286971
13	ENSG00000260163
13	ENSG00000260634
13	ENSG00000136717
13	ENSG00000163161
13	ENSG00000286145
13	ENSG00000236682
13	ENSG00000169967
13	ENSG00000115718
13	ENSG00000163166
13	ENSG00000272789
13	ENSG00000274010
13	ENSG00000272667
14	ENSG00000144451
14	ENSG00000224257
14	ENSG00000197585
14	ENSG00000138376
14	ENSG00000229267
14	ENSG00000207274
14	ENSG00000230076
14	ENSG00000227769
14	ENSG00000138363
15	ENSG00000144451
15	ENSG00000224257
15	ENSG00000197585
15	ENSG00000138376
15	ENSG00000229267
15	ENSG00000207274
15	ENSG00000230076
15	ENSG00000227769
15	ENSG00000138363
16	ENSG00000144451
16	ENSG00000224257
16	ENSG00000197585
16	ENSG00000138376
16	ENSG00000229267
16	ENSG00000207274
16	ENSG00000230076
16	ENSG00000227769
16	ENSG00000138363
16	ENSG00000115414
17	ENSG00000134109
17	ENSG00000189229
17	ENSG00000223719
17	ENSG00000226258
17	ENSG00000288030
18	ENSG00000232953
18	ENSG00000163576
18	ENSG00000144566
18	ENSG00000201545
18	ENSG00000229468
18	ENSG00000114166
18	ENSG00000231304
18	ENSG00000261734
18	ENSG00000221659
18	ENSG00000282987
19	ENSG00000213689
19	ENSG00000114268
19	ENSG00000213672
19	ENSG00000068745
19	ENSG00000114302
19	ENSG00000178467
19	ENSG00000178252
19	ENSG00000178149
19	ENSG00000270441
19	ENSG00000173421
19	ENSG00000225399
19	ENSG00000114316
19	ENSG00000233276
19	ENSG00000145022
19	ENSG00000067560
19	ENSG00000145020
19	ENSG00000283189
19	ENSG00000145029
19	ENSG00000164061
19	ENSG00000164068
19	ENSG00000173540
19	ENSG00000182179
19	ENSG00000183763
19	ENSG00000164076
19	ENSG00000164078
19	ENSG00000164077
19	ENSG00000004534
19	ENSG00000230454
19	ENSG00000186792
19	ENSG00000243477
19	ENSG00000114378
19	ENSG00000068001
19	ENSG00000114395
19	ENSG00000271858
19	ENSG00000007402
19	ENSG00000114735
19	ENSG00000114738
19	ENSG00000114737
19	ENSG00000273356
19	ENSG00000259956
19	ENSG00000164081
19	ENSG00000164082
2	ENSG00000177181
2	ENSG00000200254
2	ENSG00000065978
2	ENSG00000164008
2	ENSG00000283580
2	ENSG00000177868
2	ENSG00000227533
2	ENSG00000186973
2	ENSG00000179178
2	ENSG00000117395
2	ENSG00000253313
2	ENSG00000066056
2	ENSG00000117400
2	ENSG00000066322
2	ENSG00000198198
2	ENSG00000178922
2	ENSG00000142949
2	ENSG00000126091
2	ENSG00000236200
2	ENSG00000117407
2	ENSG00000237950
2	ENSG00000117411
2	ENSG00000159214
2	ENSG00000196517
2	ENSG00000178028
2	ENSG00000117419
2	ENSG00000187147
2	ENSG00000198520
2	ENSG00000142945
2	ENSG00000142937
2	ENSG00000142959
2	ENSG00000126088
2	ENSG00000234315
2	ENSG00000117450
20	ENSG00000213689
20	ENSG00000114268
20	ENSG00000213672
20	ENSG00000068745
20	ENSG00000114302
20	ENSG00000178467
20	ENSG00000178252
20	ENSG00000178149
20	ENSG00000270441
20	ENSG00000173421
20	ENSG00000225399
20	ENSG00000114316
20	ENSG00000233276
20	ENSG00000145022
20	ENSG00000067560
20	ENSG00000145020
20	ENSG00000283189
20	ENSG00000145029
20	ENSG00000164061
20	ENSG00000164068
20	ENSG00000173540
20	ENSG00000182179
20	ENSG00000183763
20	ENSG00000164076
20	ENSG00000164078
20	ENSG00000164077
20	ENSG00000004534
20	ENSG00000230454
20	ENSG00000186792
20	ENSG00000243477
20	ENSG00000114378
20	ENSG00000068001
20	ENSG00000114395
20	ENSG00000271858
20	ENSG00000007402
20	ENSG00000114735
20	ENSG00000114738
20	ENSG00000114737
20	ENSG00000273356
20	ENSG00000259956
