locus	gene
1	ENSG00000127125.9
1	ENSG00000066185.13
1	ENSG00000186409.17
1	ENSG00000171960.11
1	ENSG00000117385.15
1	ENSG00000164008.16
1	ENSG00000164010.15
1	ENSG00000177868.12
1	ENSG00000164011.18
1	ENSG00000243710.7
1	ENSG00000179178.11
1	ENSG00000117395.12
1	ENSG00000253313.6
1	ENSG00000066056.14
1	ENSG00000117400.17
1	ENSG00000117399.14
1	ENSG00000066322.15
1	ENSG00000159479.17
1	ENSG00000198198.17
1	ENSG00000142949.17
1	ENSG00000066135.13
1	ENSG00000126091.20
1	ENSG00000117407.17
1	ENSG00000117408.11
1	ENSG00000117410.14
1	ENSG00000117411.16
1	ENSG00000159214.13
1	ENSG00000196517.11
1	ENSG00000171872.5
1	ENSG00000178028.14
1	ENSG00000117419.16
1	ENSG00000198520.12
1	ENSG00000173846.13
1	ENSG00000222009.8
1	ENSG00000117425.14
1	ENSG00000070785.17
1	ENSG00000162415.7
1	ENSG00000070759.17
1	ENSG00000280670.3
10	ENSG00000184731.6
10	ENSG00000143727.16
10	ENSG00000035115.22
10	ENSG00000189292.16
10	ENSG00000151353.15
10	ENSG00000172554.12
10	ENSG00000115705.21
10	ENSG00000130508.11
11	ENSG00000115594.12
11	ENSG00000115598.10
11	ENSG00000115602.17
11	ENSG00000115604.10
11	ENSG00000115607.9
11	ENSG00000115616.3
11	ENSG00000135953.11
11	ENSG00000170417.16
11	ENSG00000135972.9
12	ENSG00000115594.12
12	ENSG00000115598.10
12	ENSG00000115602.17
12	ENSG00000115604.10
12	ENSG00000115607.9
12	ENSG00000115616.3
12	ENSG00000135953.11
12	ENSG00000135972.9
13	ENSG00000136732.16
13	ENSG00000136717.15
13	ENSG00000186684.14
13	ENSG00000163161.13
13	ENSG00000169967.16
13	ENSG00000115718.17
13	ENSG00000169994.18
13	ENSG00000144230.16
13	ENSG00000072163.19
13	ENSG00000144231.11
14	ENSG00000144451.19
14	ENSG00000174453.10
14	ENSG00000138376.11
14	ENSG00000144452.15
14	ENSG00000138363.15
15	ENSG00000144451.19
15	ENSG00000174453.10
15	ENSG00000138376.11
15	ENSG00000144452.15
15	ENSG00000138363.15
15	ENSG00000115414.19
16	ENSG00000144451.19
16	ENSG00000174453.10
16	ENSG00000138376.11
16	ENSG00000144452.15
16	ENSG00000138363.15
16	ENSG00000115414.19
18	ENSG00000163576.18
18	ENSG00000144566.11
18	ENSG00000183977.14
18	ENSG00000114166.8
18	ENSG00000129810.15
18	ENSG00000151789.12
19	ENSG00000164045.12
19	ENSG00000164048.14
19	ENSG00000172113.9
19	ENSG00000164049.14
19	ENSG00000232112.3
19	ENSG00000164053.21
19	ENSG00000164054.15
19	ENSG00000114268.12
19	ENSG00000114270.17
19	ENSG00000225697.13
19	ENSG00000213672.8
19	ENSG00000068745.15
19	ENSG00000114302.16
