locus	gene
1	ENSG00000066056
1	ENSG00000287113
1	ENSG00000229372
1	ENSG00000178922
1	ENSG00000126091
1	ENSG00000252201
1	ENSG00000233602
1	ENSG00000187147
1	ENSG00000126106
1	ENSG00000202031
1	ENSG00000226499
1	ENSG00000281912
1	ENSG00000200254
1	ENSG00000164008
1	ENSG00000283580
1	ENSG00000227533
10	ENSG00000233296
10	ENSG00000233970
10	ENSG00000272342
10	ENSG00000223751
10	ENSG00000237667
10	ENSG00000115705
11	ENSG00000115604
11	ENSG00000232597
11	ENSG00000256637
11	ENSG00000228528
11	ENSG00000229743
11	ENSG00000287135
11	ENSG00000263685
12	ENSG00000115604
12	ENSG00000232597
12	ENSG00000256637
12	ENSG00000199727
12	ENSG00000228528
12	ENSG00000229743
12	ENSG00000287135
12	ENSG00000263685
13	ENSG00000286971
13	ENSG00000260163
13	ENSG00000260634
13	ENSG00000136717
13	ENSG00000186684
13	ENSG00000163161
13	ENSG00000286145
14	ENSG00000144451
14	ENSG00000229267
14	ENSG00000207274
14	ENSG00000227769
15	ENSG00000144451
15	ENSG00000229267
15	ENSG00000207274
15	ENSG00000227769
15	ENSG00000138363
16	ENSG00000144451
16	ENSG00000229267
16	ENSG00000207274
16	ENSG00000227769
16	ENSG00000138363
17	ENSG00000229642
17	ENSG00000189229
17	ENSG00000223719
17	ENSG00000236202
18	ENSG00000232953
18	ENSG00000163576
18	ENSG00000229468
18	ENSG00000221659
18	ENSG00000151789
19	ENSG00000186792
19	ENSG00000243477
19	ENSG00000114735
19	ENSG00000178252
19	ENSG00000178035
19	ENSG00000177352
19	ENSG00000225399
19	ENSG00000188315
19	ENSG00000283189
19	ENSG00000145029
19	ENSG00000164068
19	ENSG00000173540
19	ENSG00000164078
19	ENSG00000164077
19	ENSG00000004534
2	ENSG00000066056
2	ENSG00000287113
2	ENSG00000229372
2	ENSG00000178922
2	ENSG00000126091
2	ENSG00000252201
2	ENSG00000233602
2	ENSG00000187147
2	ENSG00000126106
2	ENSG00000202031
2	ENSG00000226499
2	ENSG00000281912
2	ENSG00000200254
2	ENSG00000164008
2	ENSG00000283580
2	ENSG00000227533
20	ENSG00000186792
20	ENSG00000243477
20	ENSG00000114735
20	ENSG00000178252
20	ENSG00000178035
20	ENSG00000177352
20	ENSG00000225399
20	ENSG00000188315
20	ENSG00000283189
20	ENSG00000145029
20	ENSG00000164068
20	ENSG00000173540
20	ENSG00000164078
20	ENSG00000164077
20	ENSG00000004534
21	ENSG00000186792
21	ENSG00000243477
21	ENSG00000114735
21	ENSG00000178252
21	ENSG00000178035
21	ENSG00000177352
21	ENSG00000225399
21	ENSG00000188315
21	ENSG00000283189
21	ENSG00000145029
