locus	intron
1	1:42847450:42862111:clu_10597_NA
1	1:42922254:42922918:clu_10603_NA
1	1:42922473:42922918:clu_10603_NA
1	1:43119114:43119497:clu_10614_NA
1	1:43220888:43223454:clu_10625_NA
1	1:43222126:43222251:clu_10625_NA
1	1:43222536:43223454:clu_10625_NA
1	1:43282251:43282425:clu_10629_NA
1	1:43291409:43296115:clu_10634_NA
1	1:43296786:43300709:clu_10634_NA
1	1:43315084:43315382:clu_10639_NA
1	1:43681064:43736577:clu_10659_NA
1	1:43703350:43705633:clu_10659_NA
1	1:43713630:43727513:clu_10659_NA
1	1:43727577:43736577:clu_10659_NA
1	1:43727589:43736416:clu_10659_NA
1	1:43727589:43736577:clu_10659_NA
1	1:43775203:43776285:clu_10671_NA
1	1:43831294:43850717:clu_10681_NA
1	1:43853278:43853981:clu_10683_NA
1	1:43870221:43875164:clu_10686_NA
1	1:43886974:43888151:clu_10690_NA
1	1:43893116:43893201:clu_10695_NA
1	1:43893405:43893674:clu_10696_NA
1	1:43894157:43895374:clu_10697_NA
1	1:43913369:43913520:clu_10712_NA
1	1:43996761:44003869:clu_10724_NA
1	1:44085529:44085766:clu_10735_NA
1	1:44085892:44086125:clu_10735_NA
1	1:44118984:44119334:clu_10737_NA
1	1:44132226:44132543:clu_10739_NA
1	1:44386600:44387115:clu_10746_NA
1	1:44386600:44395691:clu_10746_NA
1	1:44432454:44432987:clu_10761_NA
1	1:44436892:44437059:clu_10768_NA
1	1:44440286:44441472:clu_10769_NA
1	1:44440779:44441762:clu_10769_NA
1	1:44441646:44441762:clu_10769_NA
1	1:44475768:44489920:clu_10783_NA
1	1:44680113:44680211:clu_10793_NA
1	1:45140545:45153868:clu_10816_NA
1	1:45162842:45166595:clu_10816_NA
1	1:45189578:45189794:clu_10816_NA
1	1:45277770:45278224:clu_10845_NA
1	1:45295205:45295286:clu_10857_NA
1	1:45435716:45443987:clu_10853_NA
1	1:45478691:45478964:clu_10870_NA
1	1:45813672:45851584:clu_10892_NA
1	1:45851632:45887397:clu_10892_NA
10	2:219001:224864:clu_5_NA
10	2:219001:229966:clu_5_NA
10	2:221728:224864:clu_5_NA
10	2:224920:229966:clu_5_NA
10	2:234272:242798:clu_11_NA
10	2:234272:243503:clu_11_NA
10	2:234272:247538:clu_11_NA
10	2:242871:243503:clu_11_NA
10	2:243562:247538:clu_11_NA
10	2:253115:256207:clu_7_NA
10	2:253115:264782:clu_7_NA
