locus	gene
1	ENSG00000066185
1	ENSG00000177868
1	ENSG00000164008
1	ENSG00000228452
1	ENSG00000186409
1	ENSG00000127125
1	ENSG00000164007
1	ENSG00000230116
1	ENSG00000177181
1	ENSG00000171960
1	ENSG00000164011
1	ENSG00000164010
1	ENSG00000227533
1	ENSG00000243710
1	ENSG00000186973
1	ENSG00000229431
1	ENSG00000234917
1	ENSG00000197273
1	ENSG00000117395
1	ENSG00000228776
1	ENSG00000229444
1	ENSG00000233674
1	ENSG00000179178
1	ENSG00000229348
1	ENSG00000178922
1	ENSG00000066056
1	ENSG00000117399
1	ENSG00000066322
1	ENSG00000159479
1	ENSG00000066135
1	ENSG00000228192
1	ENSG00000117407
1	ENSG00000142949
1	ENSG00000236180
1	ENSG00000117411
1	ENSG00000229372
1	ENSG00000159214
1	ENSG00000117408
1	ENSG00000117410
1	ENSG00000171872
1	ENSG00000117400
1	ENSG00000237950
1	ENSG00000200913
1	ENSG00000142959
1	ENSG00000178028
1	ENSG00000230615
1	ENSG00000225721
1	ENSG00000132768
1	ENSG00000271329
1	ENSG00000070785
1	ENSG00000202444
1	ENSG00000198520
1	ENSG00000234093
1	ENSG00000236624
10	ENSG00000237667
10	ENSG00000223751
10	ENSG00000172554
10	ENSG00000226277
10	ENSG00000035115
10	ENSG00000184731
10	ENSG00000235779
10	ENSG00000228799
10	ENSG00000236665
10	ENSG00000272342
10	ENSG00000228613
10	ENSG00000130508
10	ENSG00000233633
10	ENSG00000234796
10	ENSG00000115705
10	ENSG00000189292
10	ENSG00000232057
10	ENSG00000143727
10	ENSG00000233684
10	ENSG00000233970
10	ENSG00000233296
10	ENSG00000233553
10	ENSG00000231173
10	ENSG00000227713
10	ENSG00000151353
11	ENSG00000115602
11	ENSG00000115604
11	ENSG00000115616
11	ENSG00000115598
11	ENSG00000234389
11	ENSG00000135953
11	ENSG00000224095
11	ENSG00000256637
11	ENSG00000236785
11	ENSG00000227680
11	ENSG00000236109
11	ENSG00000234177
11	ENSG00000231626
11	ENSG00000225765
11	ENSG00000235597
11	ENSG00000232597
11	ENSG00000135972
11	ENSG00000224509
12	ENSG00000115602
12	ENSG00000115604
12	ENSG00000115616
12	ENSG00000115598
12	ENSG00000234389
12	ENSG00000135953
12	ENSG00000224095
12	ENSG00000256637
12	ENSG00000236785
12	ENSG00000227680
12	ENSG00000236109
12	ENSG00000234177
12	ENSG00000231626
12	ENSG00000225765
12	ENSG00000235597
12	ENSG00000232597
12	ENSG00000135972
12	ENSG00000224509
12	ENSG00000115641
13	ENSG00000235491
13	ENSG00000236655
13	ENSG00000235774
13	ENSG00000136732
13	ENSG00000144230
13	ENSG00000260163
13	ENSG00000260634
13	ENSG00000236682
13	ENSG00000272789
13	ENSG00000136717
13	ENSG00000186684
13	ENSG00000163166
13	ENSG00000163161
13	ENSG00000270081
13	ENSG00000169967
14	ENSG00000196096
14	ENSG00000144451
14	ENSG00000223373
14	ENSG00000236193
14	ENSG00000174453
14	ENSG00000177261
14	ENSG00000138363
14	ENSG00000138376
14	ENSG00000227769
14	ENSG00000229267
14	ENSG00000207274
14	ENSG00000237571
14	ENSG00000197585
14	ENSG00000216721
14	ENSG00000226276
14	ENSG00000115414
15	ENSG00000144451
15	ENSG00000196096
15	ENSG00000223373
15	ENSG00000236193
15	ENSG00000174453
15	ENSG00000177261
15	ENSG00000138363
15	ENSG00000138376
15	ENSG00000227769
15	ENSG00000229267
15	ENSG00000207274
15	ENSG00000237571
15	ENSG00000197585
15	ENSG00000216721
15	ENSG00000226276
15	ENSG00000115414
16	ENSG00000196096
16	ENSG00000144451
16	ENSG00000174453
16	ENSG00000236193
16	ENSG00000177261
16	ENSG00000138363
16	ENSG00000138376
16	ENSG00000227769
16	ENSG00000229267
16	ENSG00000207274
16	ENSG00000237571
16	ENSG00000197585
16	ENSG00000216721
16	ENSG00000226276
16	ENSG00000115414
16	ENSG00000144452
16	ENSG00000227824
17	ENSG00000241227
17	ENSG00000134107
17	ENSG00000134108
17	ENSG00000230944
17	ENSG00000134109
17	ENSG00000223719
17	ENSG00000233912
17	ENSG00000229642
17	ENSG00000226258
17	ENSG00000189229
17	ENSG00000226022
17	ENSG00000196277
17	ENSG00000227110
17	ENSG00000237665
18	ENSG00000163576
18	ENSG00000232953
18	ENSG00000237485
18	ENSG00000144566
18	ENSG00000183977
18	ENSG00000114166
18	ENSG00000261734
18	ENSG00000231304
18	ENSG00000229468
18	ENSG00000272511
18	ENSG00000223351
18	ENSG00000151789
18	ENSG00000236380
18	ENSG00000132967
19	ENSG00000178149
19	ENSG00000213672
19	ENSG00000145029
19	ENSG00000145020
19	ENSG00000178467
19	ENSG00000173540
19	ENSG00000198218
19	ENSG00000233276
19	ENSG00000173421
19	ENSG00000177352
19	ENSG00000068745
19	ENSG00000177479
19	ENSG00000178252
19	ENSG00000213689
19	ENSG00000225399
19	ENSG00000226913
19	ENSG00000114270
19	ENSG00000114302
19	ENSG00000188315
19	ENSG00000232112
19	ENSG00000067560
19	ENSG00000178057
19	ENSG00000172113
19	ENSG00000164054
19	ENSG00000164068
19	ENSG00000145022
19	ENSG00000164061
19	ENSG00000173531
19	ENSG00000004534
19	ENSG00000176020
19	ENSG00000164053
19	ENSG00000178537
19	ENSG00000236768
19	ENSG00000230698
19	ENSG00000114316
19	ENSG00000001617
19	ENSG00000235120
19	ENSG00000185909
19	ENSG00000270538
19	ENSG00000114353
19	ENSG00000164076
19	ENSG00000186792
19	ENSG00000145040
19	ENSG00000172053
19	ENSG00000243477
19	ENSG00000232352
19	ENSG00000185614
19	ENSG00000114738
19	ENSG00000182179
19	ENSG00000114735
19	ENSG00000114378
19	ENSG00000240959
19	ENSG00000114395
19	ENSG00000259970
19	ENSG00000012171
19	ENSG00000088543
19	ENSG00000007402
19	ENSG00000188338
19	ENSG00000179564
19	ENSG00000264706
19	ENSG00000114388
19	ENSG00000164081
19	ENSG00000213600
2	ENSG00000066185
2	ENSG00000177868
2	ENSG00000164008
2	ENSG00000228452
2	ENSG00000186409
2	ENSG00000127125
2	ENSG00000164007
2	ENSG00000230116
2	ENSG00000177181
2	ENSG00000171960
2	ENSG00000164011
2	ENSG00000164010
2	ENSG00000227533
2	ENSG00000243710
2	ENSG00000186973
2	ENSG00000229431
2	ENSG00000234917
2	ENSG00000197273
2	ENSG00000117395
2	ENSG00000228776
2	ENSG00000229444
2	ENSG00000233674
2	ENSG00000179178
2	ENSG00000229348
2	ENSG00000178922
2	ENSG00000066056
2	ENSG00000117399
2	ENSG00000066322
2	ENSG00000159479
2	ENSG00000066135
2	ENSG00000228192
2	ENSG00000117407
2	ENSG00000142949
2	ENSG00000236180
