locus	isoform
1	ENST00000422278.1_5
1	ENST00000445886.5_6
1	ENST00000655845.1_1
1	ENST00000670292.1_1
1	ENST00000495044.6_2
1	ENST00000363384.1
1	ENST00000655265.1_1
1	ENST00000440068.5_5
1	ENST00000372525.7_3
1	ENST00000464081.1_2
1	ENST00000650521.1_1
1	ENST00000494155.1_1
1	ENST00000645239.1_3
1	ENST00000642150.1_1
1	ENST00000372521.9_3
1	ENST00000431759.5_1
1	ENST00000416689.1_1
1	ENST00000409337.5_1
1	ENST00000431635.6_3
1	ENST00000497569.5_2
1	ENST00000497050.5_2
1	ENST00000372455.4_2
1	ENST00000562955.2_2
1	ENST00000634258.3_3
1	ENST00000372433.5_4
1	ENST00000469587.1_2
1	ENST00000372427.5_2
1	ENST00000444386.1_1
1	ENST00000372425.8_2
1	ENST00000437607.1_1
1	ENST00000477970.1_1
1	ENST00000347631.7_2
1	ENST00000516392.1
1	ENST00000646416.1_1
1	ENST00000490502.1_5
1	ENST00000438616.3_3
1	ENST00000532642.5_1
1	ENST00000236067.8_1
1	ENST00000532072.1_1
1	ENST00000463846.5_1
1	ENST00000485811.5_1
1	ENST00000357730.6_4
1	ENST00000657086.1_2
1	ENST00000372289.7_3
1	ENST00000372257.7_3
1	ENST00000453863.5_3
1	ENST00000427336.1_1
1	ENST00000581525.1
1	ENST00000365161.1
1	ENST00000474582.1_1
1	ENST00000476731.1_1
1	ENST00000497010.1_2
1	ENST00000652165.1_1
1	ENST00000636836.1_1
1	ENST00000626198.1_1
1	ENST00000477731.5_1
10	ENST00000472012.1_2
10	ENST00000451005.5_3
10	ENST00000479739.6_2
10	ENST00000356150.10_3
10	ENST00000403712.6_2
10	ENST00000463865.5_2
10	ENST00000468321.5_2
10	ENST00000402632.5_2
10	ENST00000465733.5_2
10	ENST00000454318.1_4
10	ENST00000272067.10_2
10	ENST00000272065.10_3
10	ENST00000453390.5_1
10	ENST00000355654.6_5
10	ENST00000405941.3_6
10	ENST00000445418.1_1
10	ENST00000281017.8_5
10	ENST00000432667.5_2
10	ENST00000668697.1_1
10	ENST00000439196.1_2
10	ENST00000606068.1_1
10	ENST00000431542.1_1
10	ENST00000425850.1_1
10	ENST00000662432.1_2
10	ENST00000308624.10_2
