locus	isoform
1	ENST00000372259
1	ENST00000479101
1	ENST00000414156
1	ENST00000457571
1	ENST00000355387
1	ENST00000361799
1	ENST00000496262
1	ENST00000335497
1	ENST00000471494
1	ENST00000475378
1	ENST00000372244
1	ENST00000480686
1	ENST00000372237
1	ENST00000372235
1	ENST00000357508
1	ENST00000441519
1	ENST00000444751
1	ENST00000434520
1	ENST00000418779
1	ENST00000568406
1	ENST00000396651
1	ENST00000485390
1	ENST00000465443
1	ENST00000476731
1	ENST00000489976
1	ENST00000360403
1	ENST00000439363
1	ENST00000477953
1	ENST00000486296
1	ENST00000463092
1	ENST00000461035
1	ENST00000472254
1	ENST00000465678
1	ENST00000485271
1	ENST00000462388
1	ENST00000461495
1	ENST00000431473
1	ENST00000372565
1	ENST00000433602
1	ENST00000461083
1	ENST00000372556
1	ENST00000475614
1	ENST00000428554
1	ENST00000477155
1	ENST00000507855
1	ENST00000426743
1	ENST00000342022
1	ENST00000514642
1	ENST00000390640
1	ENST00000471699
1	ENST00000304979
1	ENST00000455203
1	ENST00000461351
1	ENST00000414339
1	ENST00000332220
1	ENST00000397054
1	ENST00000460031
1	ENST00000236040
1	ENST00000495874
1	ENST00000472802
1	ENST00000481465
1	ENST00000372525
1	ENST00000603943
1	ENST00000447572
1	ENST00000372521
1	ENST00000537227
1	ENST00000497437
1	ENST00000487556
1	ENST00000372517
1	ENST00000328249
1	ENST00000414798
1	ENST00000397044
1	ENST00000372500
1	ENST00000460369
1	ENST00000431759
1	ENST00000416689
1	ENST00000431635
1	ENST00000236051
1	ENST00000472982
1	ENST00000372492
1	ENST00000439858
1	ENST00000432792
1	ENST00000372476
1	ENST00000433781
1	ENST00000473014
1	ENST00000424948
1	ENST00000310955
1	ENST00000372458
1	ENST00000497050
1	ENST00000290663
1	ENST00000372457
1	ENST00000372455
1	ENST00000473560
1	ENST00000406439
1	ENST00000562955
1	ENST00000470139
1	ENST00000372442
1	ENST00000470897
1	ENST00000372433
1	ENST00000372434
1	ENST00000372430
1	ENST00000372432
1	ENST00000372427
1	ENST00000486909
1	ENST00000469587
1	ENST00000444386
1	ENST00000496043
1	ENST00000437607
1	ENST00000467464
1	ENST00000412568
1	ENST00000372407
1	ENST00000477970
1	ENST00000372396
1	ENST00000463151
1	ENST00000472265
1	ENST00000481296
1	ENST00000418149
1	ENST00000489897
1	ENST00000330208
1	ENST00000361400
1	ENST00000372365
1	ENST00000446167
1	ENST00000372343
1	ENST00000480902
1	ENST00000486876
1	ENST00000472174
1	ENST00000532642
1	ENST00000236067
1	ENST00000471859
1	ENST00000468183
1	ENST00000473485
1	ENST00000498208
1	ENST00000498664
1	ENST00000372324
1	ENST00000497866
1	ENST00000309519
1	ENST00000481924
1	ENST00000486064
1	ENST00000372307
1	ENST00000372318
1	ENST00000463846
1	ENST00000485811
1	ENST00000466180
1	ENST00000479055
1	ENST00000472562
1	ENST00000372310
1	ENST00000492434
1	ENST00000315913
1	ENST00000372289
1	ENST00000463950
1	ENST00000488433
1	ENST00000483741
1	ENST00000494092
10	ENST00000327669
10	ENST00000461026
10	ENST00000460974
10	ENST00000403712
10	ENST00000415006
10	ENST00000463865
10	ENST00000403657
10	ENST00000405430
10	ENST00000468321
10	ENST00000479739
10	ENST00000472012
10	ENST00000471948
10	ENST00000481932
10	ENST00000488044
10	ENST00000497051
10	ENST00000488979
10	ENST00000402632
10	ENST00000415368
10	ENST00000602998
10	ENST00000605370
10	ENST00000465733
10	ENST00000484125
10	ENST00000272067
10	ENST00000272065
10	ENST00000413140
10	ENST00000407983
10	ENST00000405233
10	ENST00000453390
10	ENST00000403610
10	ENST00000344414
10	ENST00000452023
10	ENST00000430529
10	ENST00000281017
10	ENST00000432667
10	ENST00000355654
10	ENST00000497508
10	ENST00000477202
10	ENST00000405941
10	ENST00000418447
10	ENST00000461640
10	ENST00000414556
10	ENST00000415700
10	ENST00000308624
10	ENST00000252804
10	ENST00000493779
10	ENST00000433670
10	ENST00000399157
10	ENST00000602387
10	ENST00000490585
10	ENST00000476547
11	ENST00000324219
11	ENST00000476609
11	ENST00000421882
