locus	probe
1	chr1:41536393:41537503:clu_211233_
1	chr1:42730860:42744019:clu_211281_
1	chr1:42731583:42744019:clu_211281_
1	chr1:42746106:42776721:clu_211281_
1	chr1:42896529:42898776:clu_211291_
1	ENSG00000066185.13
1	chr1:42905696:42914138:clu_211295_
1	chr1:42905696:42915589:clu_211295_
1	chr1:42902214:42921559:clu_211295_
1	chr1:42905696:42921559:clu_211295_
1	chr1:42905696:42921615:clu_211295_
1	chr1:42914306:42915589:clu_211295_
1	chr1:42914309:42915589:clu_211295_
1	chr1:42914309:42921559:clu_211295_
1	chr1:42915730:42921615:clu_211295_
1	chr1:42964587:42972618:clu_102918_
1	chr1:42964587:42986834:clu_102918_
1	chr1:42964587:43002147:clu_102918_
1	chr1:42986927:43031967:clu_102918_
1	ENSG00000186409.18
1	chr1:43032146:43042691:clu_102919_
1	chr1:43032146:43047031:clu_102919_
1	chr1:43042900:43046503:clu_102919_
1	chr1:43042900:43047031:clu_102919_
1	chr1:43042900:43047098:clu_102919_
1	chr1:43046652:43047031:clu_102919_
1	chr1:43049730:43054992:clu_102920_
1	chr1:43055154:43055966:clu_102921_
1	chr1:43074929:43076649:clu_102921_
1	chr1:43076761:43096075:clu_102922_
1	chr1:43096196:43102908:clu_102922_
1	ENSG00000171960.12
1	chr1:43212523:43212924:clu_211316_
1	chr1:43212523:43212943:clu_211316_
1	chr1:43221308:43223454:clu_211320_
1	ENSG00000164008.16
1	ENSG00000283580.3
1	chr1:43259412:43282102:clu_211323_
1	ENSG00000177868.12
1	chr1:43279571:43282102:clu_211323_
1	chr1:43279575:43282102:clu_211323_
1	chr1:43282251:43282425:clu_211324_
1	chr1:43291409:43296115:clu_102939_
1	chr1:43291409:43300709:clu_102939_
1	ENSG00000164010.15
1	chr1:43296786:43300709:clu_102939_
1	chr1:43315413:43316310:clu_102943_
1	ENSG00000117394.24
1	chr1:43425248:43426727:clu_102954_
1	chr1:43425248:43430192:clu_102954_
1	chr1:43425248:43431610:clu_102954_
1	chr1:43424598:43435920:clu_102954_
1	chr1:43424989:43435920:clu_102954_
1	chr1:43427867:43435920:clu_102954_
1	chr1:43430310:43435920:clu_102954_
1	chr1:43433345:43435920:clu_102954_
1	chr1:43436050:43439645:clu_102955_
1	chr1:43436065:43439645:clu_102955_
1	chr1:43436050:43448796:clu_102955_
1	chr1:43436065:43448796:clu_102955_
1	chr1:43439859:43445170:clu_102955_
1	chr1:43436050:43450097:clu_102955_
1	chr1:43436065:43450097:clu_102955_
1	ENSG00000227533.6
1	chr1:43439859:43448617:clu_102955_
1	chr1:43439859:43450097:clu_102955_
1	chr1:43446257:43448796:clu_102955_
1	chr1:43446257:43450097:clu_102955_
1	chr1:43436065:43461575:clu_102955_
1	chr1:43448982:43450097:clu_102955_
1	chr1:43450317:43450653:clu_102955_
1	chr1:43439859:43461575:clu_102955_
1	chr1:43436050:43466114:clu_102955_
1	chr1:43436065:43466114:clu_102955_
1	chr1:43439859:43466114:clu_102955_
1	chr1:43450317:43461575:clu_102955_
1	chr1:43450317:43466114:clu_102955_
1	chr1:43436050:43483517:clu_102955_
1	chr1:43436065:43483517:clu_102955_
1	chr1:43439859:43483517:clu_102955_
1	chr1:43450317:43483517:clu_102955_
1	chr1:43652530:43665061:clu_102969_
1	ENSG00000117395.13
1	chr1:43736464:43737855:clu_102982_
1	chr1:43738010:43738249:clu_102982_
1	chr1:43738010:43739305:clu_102982_
1	chr1:43775203:43776285:clu_102988_
1	ENSG00000066056.14
1	chr1:43779096:43779594:clu_102990_
1	chr1:43783743:43784917:clu_102992_
1	chr1:43785200:43786940:clu_102993_
1	chr1:43787386:43789807:clu_102994_
1	ENSG00000159479.17
1	chr1:43891822:43892039:clu_103021_
1	chr1:43898861:43900057:clu_103030_
1	chr1:43906257:43906895:clu_103034_
1	chr1:43906257:43906952:clu_103034_
1	chr1:43909148:43911565:clu_103037_
1	chr1:43915842:43916008:clu_103038_
1	chr1:43915842:43916510:clu_103038_
1	chr1:43916742:43917081:clu_211367_
1	chr1:43916742:43917099:clu_211367_
1	chr1:43917000:43917099:clu_211367_
1	chr1:43917008:43917099:clu_211367_
1	chr1:43917204:43917319:clu_211372_
1	chr1:43917388:43917499:clu_211373_
1	chr1:43917702:43917876:clu_211374_
1	chr1:43917717:43917876:clu_211374_
1	ENSG00000178922.18
1	chr1:43994427:44003869:clu_103039_
1	chr1:43996761:44003869:clu_103039_
1	chr1:44058272:44064391:clu_103056_
1	chr1:44063724:44064391:clu_103056_
1	ENSG00000126091.21
1	chr1:44386600:44387115:clu_103084_
1	chr1:44440779:44441472:clu_103111_
1	chr1:44440779:44441762:clu_103111_
1	chr1:44441520:44441762:clu_103111_
1	ENSG00000117410.14
1	chr1:44450727:44450950:clu_103117_
1	chr1:44451072:44455970:clu_103117_
1	chr1:44679221:44679335:clu_103147_
1	ENSG00000178028.14
1	chr1:44713710:44717085:clu_211461_
1	chr1:44804994:44818522:clu_211462_
1	ENSG00000187147.18
1	chr1:45101834:45103982:clu_103162_
1	chr1:45101834:45110370:clu_103162_
1	chr1:45150328:45155348:clu_103214_
1	chr1:45153991:45154763:clu_103214_
1	chr1:45140545:45169761:clu_103214_
1	chr1:45154896:45155414:clu_103214_
1	chr1:45155546:45169761:clu_103214_
1	chr1:45140545:45189794:clu_103214_
1	chr1:45165928:45166595:clu_103214_
1	chr1:45166791:45187852:clu_103214_
1	chr1:45169845:45187852:clu_103214_
1	chr1:45169845:45189475:clu_103214_
1	chr1:45169845:45189617:clu_103214_
1	chr1:45189578:45189657:clu_103214_
1	ENSG00000142937.12
1	ENSG00000280670.3
1	chr1:46016827:46032241:clu_103333_
1	chr1:46690182:46705450:clu_103405_
10	ENSG00000184731.6
10	chr2:219001:224864:clu_87711_
10	chr2:219001:224868:clu_87711_
10	chr2:219001:229966:clu_87711_
10	chr2:224920:229966:clu_87711_
10	chr2:230044:230547:clu_87712_
10	chr2:230044:231023:clu_87712_
10	chr2:231191:234160:clu_87713_
10	chr2:234272:242798:clu_87714_
10	chr2:234272:243503:clu_87714_
10	chr2:234272:247538:clu_87714_
10	ENSG00000035115.22
10	chr2:242871:243503:clu_87714_
10	chr2:243562:247538:clu_87714_
10	chr2:253115:256207:clu_87715_
10	chr2:253115:260085:clu_87715_
10	chr2:253115:264782:clu_87715_
10	chr2:260702:262631:clu_87715_
10	chr2:260702:263211:clu_87715_
10	chr2:262786:263211:clu_87715_
10	ENSG00000143727.16
10	chr2:271939:272037:clu_232043_
10	chr2:271939:272192:clu_232043_
10	chr2:272065:272192:clu_232043_
10	chr2:272150:275140:clu_232044_
10	chr2:272305:275140:clu_232044_
10	chr2:275201:276980:clu_232044_
10	ENSG00000151353.15
10	chr2:675630:675758:clu_87731_
10	chr2:675630:676574:clu_87731_
10	chr2:675630:676871:clu_87731_
10	chr2:676238:676574:clu_87731_
10	chr2:675630:677289:clu_87731_
10	chr2:676238:676871:clu_87731_
10	chr2:676238:677289:clu_87731_
