locus	intron
1	1:42870268:42871015:clu_10598_NA
1	1:42875858:42880155:clu_10599_NA
1	1:43047185:43054992:clu_10609_NA
1	1:43055154:43055966:clu_10610_NA
1	1:43055154:43055986:clu_10610_NA
1	1:43055154:43076649:clu_10610_NA
1	1:43068941:43076649:clu_10610_NA
1	1:43126575:43130534:clu_10617_NA
1	1:43130626:43131651:clu_10617_NA
1	1:43212523:43212924:clu_10621_NA
1	1:43212523:43212943:clu_10621_NA
1	1:43220888:43223454:clu_10625_NA
1	1:43222126:43222251:clu_10625_NA
1	1:43222536:43223454:clu_10625_NA
1	1:43234777:43239234:clu_10630_NA
1	1:43241392:43247318:clu_10632_NA
1	1:43259412:43282102:clu_10628_NA
1	1:43273171:43282102:clu_10628_NA
1	1:43279571:43282102:clu_10628_NA
1	1:43279575:43282102:clu_10628_NA
1	1:43282251:43282425:clu_10629_NA
1	1:43282276:43282861:clu_10629_NA
1	1:43283486:43290219:clu_10633_NA
1	1:43291409:43296115:clu_10634_NA
1	1:43291409:43300709:clu_10634_NA
1	1:43296204:43296439:clu_10634_NA
1	1:43665174:43672391:clu_10658_NA
1	1:43675587:43680926:clu_10658_NA
1	1:43779639:43780054:clu_10674_NA
1	1:43785019:43786940:clu_10675_NA
1	1:43824677:43825161:clu_10678_NA
1	1:43824684:43824838:clu_10678_NA
1	1:43882312:43885405:clu_10686_NA
1	1:43892480:43892727:clu_10694_NA
1	1:43894157:43895374:clu_10697_NA
1	1:43897572:43898016:clu_10700_NA
1	1:43898861:43899705:clu_10703_NA
1	1:43898861:43902842:clu_10703_NA
1	1:43899885:43900057:clu_10703_NA
1	1:43900156:43902842:clu_10703_NA
1	1:43905148:43905276:clu_10705_NA
1	1:43907489:43907671:clu_10708_NA
1	1:43914399:43915814:clu_10715_NA
1	1:43915842:43916008:clu_10716_NA
1	1:43916745:43917099:clu_10713_NA
1	1:43916982:43917081:clu_10713_NA
1	1:43916982:43917099:clu_10713_NA
1	1:43917000:43917099:clu_10713_NA
1	1:43917388:43917499:clu_10719_NA
1	1:44003948:44010702:clu_10725_NA
1	1:44057619:44058134:clu_10729_NA
1	1:44069860:44070574:clu_10728_NA
1	1:44075169:44078439:clu_10733_NA
1	1:44075169:44079289:clu_10733_NA
1	1:44078471:44079289:clu_10733_NA
1	1:44118984:44119334:clu_10737_NA
1	1:44118984:44121262:clu_10737_NA
1	1:44163684:44166206:clu_10741_NA
1	1:44280605:44290403:clu_10744_NA
1	1:44280605:44303891:clu_10744_NA
1	1:44290564:44303891:clu_10744_NA
1	1:44303983:44360055:clu_10745_NA
1	1:44323980:44360055:clu_10745_NA
1	1:44360149:44395804:clu_10746_NA
1	1:44386600:44387115:clu_10746_NA
1	1:44386600:44395691:clu_10746_NA
1	1:44406009:44410309:clu_10755_NA
1	1:44406009:44410356:clu_10755_NA
1	1:44406009:44411916:clu_10755_NA
1	1:44406062:44410309:clu_10755_NA
1	1:44406067:44410356:clu_10755_NA
1	1:44406067:44411414:clu_10755_NA
1	1:44406067:44411916:clu_10755_NA
1	1:44410468:44411414:clu_10755_NA
1	1:44410468:44412153:clu_10755_NA
1	1:44436380:44436638:clu_10767_NA
1	1:44436861:44437059:clu_10768_NA
1	1:44437742:44437830:clu_10768_NA
1	1:44440779:44441762:clu_10769_NA
1	1:44445183:44445802:clu_10772_NA
1	1:44445183:44446786:clu_10772_NA
1	1:44457691:44459562:clu_10777_NA
1	1:44458059:44458195:clu_10777_NA
1	1:44458311:44459559:clu_10777_NA
1	1:44461528:44461610:clu_10779_NA
1	1:44461528:44461614:clu_10779_NA
1	1:44463411:44466439:clu_10771_NA
1	1:44468657:44475637:clu_10783_NA
1	1:44474295:44489920:clu_10783_NA
1	1:44476554:44482719:clu_10783_NA
1	1:44679221:44679381:clu_10792_NA
1	1:44680570:44683983:clu_10794_NA
1	1:44785416:44820564:clu_10799_NA
1	1:45140545:45150065:clu_10816_NA
1	1:45140545:45153868:clu_10816_NA
1	1:45140545:45155348:clu_10816_NA
1	1:45189578:45189794:clu_10816_NA
1	1:45216236:45218804:clu_10830_NA
1	1:45274578:45275885:clu_10845_NA
1	1:45289057:45292160:clu_10850_NA
1	1:45485074:45485738:clu_10879_NA
1	1:45805976:45806975:clu_10887_NA
10	2:219001:224864:clu_5_NA
10	2:219001:229966:clu_5_NA
10	2:221728:224864:clu_5_NA
10	2:224920:229966:clu_5_NA
10	2:231191:234160:clu_10_NA
10	2:234272:242798:clu_11_NA
10	2:234272:243503:clu_11_NA
10	2:234272:247538:clu_11_NA
10	2:242871:243503:clu_11_NA
10	2:243562:247538:clu_11_NA
10	2:253115:256207:clu_7_NA
10	2:253115:260085:clu_7_NA
10	2:253115:262631:clu_7_NA
10	2:253115:264782:clu_7_NA
10	2:256690:260085:clu_7_NA
10	2:262786:263211:clu_7_NA
10	2:271939:272037:clu_14_NA
10	2:271939:272192:clu_14_NA
10	2:272065:272192:clu_14_NA
10	2:272150:275140:clu_15_NA
10	2:272150:276980:clu_15_NA
10	2:272305:275140:clu_15_NA
10	2:280149:283111:clu_16_NA
10	2:675630:675758:clu_9_NA
10	2:675630:677289:clu_9_NA
10	2:676238:676574:clu_9_NA
10	2:676238:677289:clu_9_NA
10	2:741130:747658:clu_31_NA
10	2:741130:749734:clu_31_NA
10	2:741130:754108:clu_31_NA
10	2:741130:776833:clu_31_NA
10	2:748635:749734:clu_31_NA
10	2:748644:749734:clu_31_NA
10	2:749856:750243:clu_31_NA
10	2:749856:751072:clu_31_NA
10	2:749856:754108:clu_31_NA
10	2:749856:763702:clu_31_NA
10	2:749856:776833:clu_31_NA
10	2:946021:1079204:clu_45_NA
10	2:946754:1017308:clu_45_NA
10	2:946754:1033557:clu_45_NA
10	2:946754:1074370:clu_45_NA
10	2:1014754:1017308:clu_45_NA
10	2:1033634:1074370:clu_45_NA
10	2:1033634:1079204:clu_45_NA
10	2:1048655:1048810:clu_45_NA
10	2:1048655:1079204:clu_45_NA
10	2:1048925:1074370:clu_45_NA
10	2:1048925:1079204:clu_45_NA
10	2:1048929:1051512:clu_45_NA
10	2:1048929:1074370:clu_45_NA
10	2:1048929:1079204:clu_45_NA
10	2:1079341:1093887:clu_49_NA
10	2:1079341:1161234:clu_49_NA
10	2:1094096:1097717:clu_49_NA
10	2:1094096:1099091:clu_49_NA
10	2:1094096:1133308:clu_49_NA
10	2:1099128:1133308:clu_49_NA
10	2:1133495:1155038:clu_49_NA
10	2:1133495:1161234:clu_49_NA
10	2:1161321:1168778:clu_50_NA
10	2:1161321:1204789:clu_50_NA
10	2:1168869:1241660:clu_50_NA
10	2:1204889:1241660:clu_50_NA
10	2:1204916:1206110:clu_50_NA
10	2:1204916:1206115:clu_50_NA
10	2:1204916:1206143:clu_50_NA
10	2:1204916:1206202:clu_50_NA
